                      Scb2804m    boaos         scip  virt. worst
rsyn0815m02hfsg          1.00=    8.00-     2109.00-     2109.00-
rsyn0815m02h             1.00=   16.00-     2791.00-     2791.00-
rsyn0815m03hfsg          1.00=   21.00-     7848.00-     7848.00-
rsyn0815m03h             1.00=   19.00-     6356.00-     6356.00-
rsyn0815m04hfsg          1.00=  167.00-     6402.00-     6402.00-
rsyn0815m04h             1.00=   35.00-     7508.00-     7508.00-
rsyn0815m                1.00=    4.00-     1570.00-     1570.00-
rsyn0820hfsg             1.00=   32.00-     1428.00-     1428.00-
rsyn0820h                1.00=   10.00-     1284.00-     1284.00-
rsyn0820m02hfsg          1.00=   10.00-     3139.00-     3139.00-
rsyn0820m02h             1.00=   39.00-     2204.00-     2204.00-
rsyn0820m03hfsg          1.00=   16.00-     5837.00-     5837.00-
rsyn0820m03h             1.00=   18.00-     8019.00-     8019.00-
rsyn0820m04hfsg          1.00=   25.00-     8592.00-     8592.00-
rsyn0820m04h             1.00=   40.00-     7563.00-     7563.00-
rsyn0820m                1.00=    3.00-     1994.00-     1994.00-
rsyn0830hfsg             1.00=    5.00-     3481.00-     3481.00-
rsyn0830h                1.00=    8.00-     4728.00-     4728.00-
rsyn0830m02hfsg          1.00=   22.00-     8636.00-     8636.00-
rsyn0830m02h             1.00=   27.00-     9813.00-     9813.00-
rsyn0830m03hfsg          1.00=   27.00-     4850.00-     4850.00-
rsyn0830m03h             1.00=   96.00-     8972.00-     8972.00-
rsyn0830m04hfsg          1.00=   50.00-    18560.00-    18560.00-
rsyn0830m04h             1.00=  150.00-     8381.00-     8381.00-
rsyn0830m                1.00=    2.00-     2040.00-     2040.00-
rsyn0840hfsg             1.00=   11.00-     1218.00-     1218.00-
rsyn0840h                1.00=   18.00-     1168.00-     1168.00-
rsyn0840m02hfsg          1.00=   31.00-     2528.00-     2528.00-
rsyn0840m02h             1.00=   37.00-     2615.00-     2615.00-
rsyn0840m03hfsg          1.00=   63.00-     5008.00-     5008.00-
rsyn0840m03h             1.00=  144.00-    10055.00-    10055.00-
rsyn0840m04hfsg          1.00=  175.00-     4902.00-     4902.00-
rsyn0840m04h             1.00=  278.00-     5556.00-     5556.00-
rsyn0840m                1.00=    1.00=     1978.00-     1978.00-
slay04m                  1.00=    5.00-     1493.00-     1493.00-
slay05h                  1.00=   15.00-     6430.00-     6430.00-
slay06h                  1.00=   20.00-    34512.00-    34512.00-
slay06m                  1.00=    4.00-     3150.00-     3150.00-
slay07m                  1.00=    1.00=     5593.00-     5593.00-
slay08m                  1.00=    1.00=     9255.00-     9255.00-
smallinvDAXr1b010-011    1.00=    9.00-      830.00-      830.00-
smallinvDAXr1b020-022    1.00=   13.00-      698.00-      698.00-
smallinvDAXr1b050-055    1.00=   12.00-      590.00-      590.00-
smallinvDAXr1b100-110    1.00=   12.00-      133.00-      133.00-
smallinvDAXr1b150-165    1.00=   12.00-      115.00-      115.00-
smallinvDAXr1b200-220    1.00=   13.00-      101.00-      101.00-
smallinvDAXr2b010-011    1.00=    8.00-      954.00-      954.00-
smallinvDAXr2b020-022    1.00=   16.00-      685.00-      685.00-
smallinvDAXr2b050-055    1.00=    8.00-      590.00-      590.00-
smallinvDAXr2b100-110    1.00=   17.00-      131.00-      131.00-
smallinvDAXr2b150-165    1.00=    7.00-      115.00-      115.00-
smallinvDAXr2b200-220    1.00=   11.00-      101.00-      101.00-
smallinvDAXr3b010-011    1.00=    9.00-      943.00-      943.00-
smallinvDAXr3b020-022    1.00=    8.00-      747.00-      747.00-
smallinvDAXr3b050-055    1.00=   15.00-     1643.00-     1643.00-
smallinvDAXr3b100-110    1.00=   12.00-      116.00-      116.00-
smallinvDAXr3b150-165    1.00=   13.00-      156.00-      156.00-
smallinvDAXr4b010-011    1.00=   10.00-      881.00-      881.00-
smallinvDAXr4b020-022    1.00=    9.00-      775.00-      775.00-
smallinvDAXr4b050-055    1.00=    9.00-     2061.00-     2061.00-
smallinvDAXr4b100-110    1.00=    9.00-      116.00-      116.00-
smallinvDAXr4b150-165    1.00=    7.00-      156.00-      156.00-
smallinvDAXr4b200-220    1.00=    7.00-      113.00-      113.00-
smallinvDAXr5b010-011    1.00=    9.00-      999.00-      999.00-
smallinvDAXr5b020-022    1.00=    7.00-     1574.00-     1574.00-
smallinvDAXr5b050-055    1.00=   11.00-     1253.00-     1253.00-
smallinvDAXr5b100-110    1.00=   20.00-      116.00-      116.00-
smallinvDAXr5b150-165    1.00=   10.00-      156.00-      156.00-
smallinvDAXr5b200-220    1.00=   13.00-      113.00-      113.00-
squfl010-025             1.00=  115.00-  1028102.00-  1028102.00-
st_e14                   1.00=    3.00-      117.00-      117.00-
st_miqp1                 1.00=    1.00=        1.00=        1.00=
st_miqp3                 1.00=    1.00=        1.00=        1.00=
st_miqp4                 1.00=    1.00=        8.00-        8.00-
st_miqp5                 1.00=    1.00=       20.00-       20.00-
st_test1                 1.00=    1.00=        1.00=        1.00=
st_test2                 1.00=    1.00=        1.00=        1.00=
st_test3                 1.00=    1.00=        1.00=        1.00=
st_test5                 1.00=    1.00=        1.00=        1.00=
st_test6                 1.00=    2.00-        1.00=        2.00-
st_test8                 1.00=    1.00=       19.00-       19.00-
st_testgr1               1.00=    6.00-      105.00-      105.00-
st_testgr3               1.00=    1.00=       26.00-       26.00-
st_testph4               1.00=    1.00=        6.00-        6.00-
syn05hfsg                1.00=    2.00-       16.00-       16.00-
syn05h                   1.00=    1.00=       16.00-       16.00-
syn05m02hfsg             1.00=    3.00-       44.00-       44.00-
syn05m02h                1.00=    3.00-       44.00-       44.00-
syn05m02m                1.00=    1.00=      181.00-      181.00-
syn05m03hfsg             1.00=    4.00-       83.00-       83.00-
syn05m03h                1.00=    3.00-       83.00-       83.00-
syn05m03m                1.00=    3.00-      339.00-      339.00-
syn05m04hfsg             1.00=    5.00-       98.00-       98.00-
syn05m04h                1.00=    5.00-      100.00-      100.00-
syn05m04m                1.00=    4.00-      646.00-      646.00-
syn05m                   1.00=    3.00-       66.00-       66.00-
syn10hfsg                1.00=    1.00=       74.00-       74.00-
syn10h                   1.00=    3.00-       72.00-       72.00-
syn10m02hfsg             1.00=    8.00-      349.00-      349.00-
syn10m02h                1.00=    9.00-      343.00-      343.00-
syn10m02m                1.00=    4.00-     1054.00-     1054.00-
syn10m03hfsg             1.00=   14.00-      499.00-      499.00-
syn10m03h                1.00=   14.00-      506.00-      506.00-
syn10m03m                1.00=    2.00-     1689.00-     1689.00-
syn10m04hfsg             1.00=   13.00-      299.00-      299.00-
syn10m04h                1.00=    9.00-      296.00-      296.00-
syn10m04m                1.00=    3.00-     4422.00-     4422.00-
syn10m                   1.00=    2.00-       90.00-       90.00-
syn15hfsg                1.00=    3.00-      229.00-      229.00-
syn15h                   1.00=    6.00-      223.00-      223.00-
syn15m02hfsg             1.00=    3.00-      495.00-      495.00-
syn15m02h                1.00=    6.00-      482.00-      482.00-
syn15m02m                1.00=    2.00-      728.00-      728.00-
syn15m03hfsg             1.00=    7.00-      819.00-      819.00-
syn15m03h                1.00=   10.00-      865.00-      865.00-
syn15m03m                1.00=    6.00-     1879.00-     1879.00-
syn15m04hfsg             1.00=    8.00-     1342.00-     1342.00-
syn15m04h                1.00=   13.00-     1435.00-     1435.00-
syn15m04m                1.00=   12.00-     3962.00-     3962.00-
syn15m                   1.00=    4.00-      239.00-      239.00-
syn20hfsg                1.00=    9.00-      613.00-      613.00-
syn20h                   1.00=    9.00-      640.00-      640.00-
syn20m02hfsg             1.00=    9.00-      713.00-      713.00-
syn20m02h                1.00=    9.00-      298.00-      298.00-
syn20m02m                1.00=    2.00-     2654.00-     2654.00-
syn20m03hfsg             1.00=    9.00-     1935.00-     1935.00-
syn20m03h                1.00=   19.00-      428.00-      428.00-
syn20m03m                1.00=    8.00-     5210.00-     5210.00-
syn20m04hfsg             1.00=   10.00-     2469.00-     2469.00-
syn20m04h                1.00=   26.00-      587.00-      587.00-
syn20m04m                1.00=    5.00-     7060.00-     7060.00-
syn20m                   1.00=    3.00-      668.00-      668.00-
syn30hfsg                1.00=    8.00-     1652.00-     1652.00-
syn30h                   1.00=   17.00-     1643.00-     1643.00-
syn30m02hfsg             1.00=   26.00-     6213.00-     6213.00-
syn30m02h                1.00=   30.00-     5407.00-     5407.00-
syn30m03hfsg             1.00=   33.00-    11760.00-    11760.00-
syn30m03h                1.00=   27.00-     8671.00-     8671.00-
syn30m04hfsg             1.00=   41.00-    17968.00-    17968.00-
syn30m04h                1.00=   45.00-     7671.00-     7671.00-
syn30m                   1.00=    3.00-     1582.00-     1582.00-
syn40hfsg                1.00=   14.00-     3418.00-     3418.00-
syn40h                   1.00=   28.00-     2576.00-     2576.00-
syn40m02hfsg             1.00=   34.00-    16595.00-    16595.00-
syn40m02h                1.00=   87.00-     8250.00-     8250.00-
syn40m02m                1.00=    3.00-    10429.00-    10429.00-
syn40m03hfsg             1.00=   60.00-    19715.00-    19715.00-
syn40m03h                1.00=   49.00-    16383.00-    16383.00-
syn40m04hfsg             1.00=   58.00-    19703.00-    19703.00-
syn40m04h                1.00=   60.00-    25099.00-    25099.00-
syn40m04m                1.00=    1.00=    17422.00-    17422.00-
syn40m                   1.00=    2.00-     1780.00-     1780.00-
synthes1                 1.00=    1.00=       74.00-       74.00-
synthes2                 1.00=    1.00=       75.00-       75.00-
synthes3                 1.00=    1.00=      377.00-      377.00-
tls2                     1.00=    1.00=      137.00-      137.00-
unitcommit1              1.00=    1.00=     7839.00-     7839.00-
